#wait,slowdown,0readerCPW,diffcycles,1readerCPW,readerCPR,event
10,1.167521,240.194501,40.237641,280.432143,280.204074,8498
20,1.137234,240.154141,32.957376,273.111517,545.966418,5002
30,1.096955,240.151362,23.283817,263.435179,789.780176,3337
40,1.085241,240.153623,20.471015,260.624638,1041.914874,2501
50,1.051733,240.145982,12.423438,252.569421,1262.152759,2007
60,1.040168,240.192801,9.647959,249.840761,1497.935626,1969
70,1.034417,240.191783,8.266658,248.458441,1737.896497,1440
80,1.040334,240.190501,9.687959,249.878461,1997.906897,1918
90,1.035540,240.155262,8.535098,248.690359,2236.826233,2223
100,1.036133,240.186961,8.678678,248.865639,2485.921558,1001
