#wait,slowdown,0readerCPW,diffcycles,1readerCPW,readerCPR,event
10,1.280791,240.148043,67.431317,307.579359,12.768077,10000
20,1.113759,480.289223,54.637019,534.926242,7.425938,9999
30,1.091031,720.459088,65.583856,786.042944,7.107806,9999
40,1.067591,968.848074,65.485831,1034.333905,6.707796,9999
50,1.049985,1200.440546,60.004529,1260.445075,6.661938,10000
60,1.038225,1440.499072,55.063513,1495.562585,6.472390,9999
70,1.033479,1680.581189,56.264703,1736.845892,6.423991,10000
80,1.035893,1928.652844,69.226056,1997.878900,6.455068,10000
90,1.035248,2168.821094,76.445764,2245.266858,6.421799,10000
100,1.032081,2408.785498,77.276147,2486.061645,6.465639,10000
